fund_name,fund_url,AUM (€),linkedin_url,investment_geographies,fund_description,fund_portfolio
Achmea Investment Management,https://www.vestbee.com/lp-list/achmea-investment-management,,https://www.linkedin.com/company/achmea-investment-management/,"Netherlands, Global",Achmea Investment Management offers investment management solutions and propositions for both institutional and private investors. It is an independent part of Achmea - Dutch insurance group. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Accelerators & Corporates"""
Alantra,https://www.vestbee.com/lp-list/alantra,,https://www.linkedin.com/company/alantra/,"Spain, Global","Alantra is an independent global mid-market financial services firm providing investment banking, asset management, and private capital services to companies, families, and investors operating in the mid-market segment. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Aldea Ventures,https://www.vestbee.com/lp-list/aldea-ventures,,https://www.linkedin.com/company/aldea-ventures1/,Spain,Aldea Ventures is a venture capital firm that invests in early-stage tech companies and the venture capital funds that fund them. Their goal is to help innovative startups grow and succeed. Aldea Ventures is known for working closely with industry leaders and startups to create strong partnerships. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Allianz Capital Partners,https://www.vestbee.com/lp-list/allianz-capital-partners,,https://www.linkedin.com/company/vestbee/,"NAMER, LATAM, EMEA, Germany",Allianz Capital Partners is a asset management company with a global focus. It is an investment arm of Allianz SE specializing in fund of fund investments. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"""Allianz Capital Partners""; ""AV8 Ventures""; Accelerators & Corporates""; AV8 Ventures"
Allied Irish Banks (AIB),https://www.vestbee.com/lp-list/allied-irish-banks-aib,2500000000,https://www.linkedin.com/company/aib-ni/,Ireland,"Allied Irish Banks (AIB) is a Investment Bank focusing exclusively on Ireland. AIB supports early and growth stage companies through investments in seed, venture and growth capital funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Frontline Ventures; University Bridge Fund (ABV); Act Venture Capital; ""Frontline Ventures; AIB Start-up Accelerator""; Accelerators & Corporates""; AIB Start-up Accelerator"
All Iron Ventures,https://www.vestbee.com/lp-list/all-iron-ventures,110000000,https://www.linkedin.com/company/all-iron-vc/,"USA, Spain","All Iron Ventures is a VC and a FOF focusing on Europe and the USA. It mainly invests in the early stage companies that aspire to reshape the future of both consumers and enterprises through technology, and ambitious fund managers. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
AlphaQ VC,https://www.vestbee.com/lp-list/alpha-q-vc,,https://www.linkedin.com/company/aqvc/,"USA, Israel, Germany","AlphaQ VC is a Fund of Funds focusing on Europe, USA, Israel. Entrepreneur-led fund of funds dedicated 100% to venture capital We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Signatur Ventures; Nucleus Capital; Abstract Ventures; White Star Capital; Maple Capital; ""AlphaQ VC is a Fund of Funds focusing on Europe; ""Signatur Ventures; ""Fund of funds""; Accelerators & Corporates"""
AlpInvest Partners,https://www.vestbee.com/lp-list/alp-invest-partners,,https://www.linkedin.com/company/alpinvest-partners/,"Netherlands, Global",AlpInvest is an investment division of the Carlyle Group. The company manages private equity investments for 450+ institutional investors worldwide through both commingled funds and customized strategic accounts. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
ALTUM,https://www.vestbee.com/lp-list/altum,,https://www.linkedin.com/company/altum-grp/,Latvia,"Altum is a state financial Institution focusing on Latvia. It complements the offer of private financial markets by providing state support in the form of financial instruments like loans, guarantees, investments in Venture Capital funds in Latvia. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Ambient Sound Investments,https://www.vestbee.com/lp-list/ambient-sound-investments,,https://www.linkedin.com/company/vestbee/,"Estonia, Global","Ambient Sound Investments is a family office of four founding engineers of Skype. The company invests globally in VC, PE, Real Estate and Listed Equities. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Karma Ventures; 1517 Fund; Golden Gate Ventures; ""Karma Ventures; Accelerators & Corporates"""
